state_name,act_composite_2016,percent_taking_2016,state_abbrev,census_region,census_division
Alabama,19.1,100,AL,South,East South Central
Alaska,20.0,53,AK,West,Pacific
Arizona,20.1,58,AZ,West,Mountain
Arkansas,20.2,96,AR,South,West South Central
California,22.6,33,CA,West,Pacific
Colorado,20.6,100,CO,West,Mountain
Connecticut,24.5,34,CT,Northeast,New England
Delaware,23.6,21,DE,South,South Atlantic
District of Columbia,22.2,44,DC,South,South Atlantic
Florida,19.9,81,FL,South,South Atlantic
Georgia,21.1,60,GA,South,South Atlantic
Hawaii,18.7,94,HI,West,Pacific
Idaho,22.7,39,ID,West,Mountain
Illinois,20.8,100,IL,Midwest,East North Central
Indiana,22.3,41,IN,Midwest,East North Central
Iowa,22.1,68,IA,Midwest,West North Central
Kansas,21.9,74,KS,Midwest,West North Central
Kentucky,20.0,100,KY,South,East South Central
Louisiana,19.5,100,LA,South,West South Central
Maine,23.6,10,ME,Northeast,New England
Maryland,23.0,27,MD,South,South Atlantic
Massachusetts,24.8,28,MA,Northeast,New England
Michigan,20.3,100,MI,Midwest,East North Central
Minnesota,21.1,100,MN,Midwest,West North Central
Mississippi,18.4,100,MS,South,East South Central
Missouri,20.2,100,MO,Midwest,West North Central
Montana,20.3,100,MT,West,Mountain
Nebraska,21.4,88,NE,Midwest,West North Central
Nevada,17.7,100,NV,West,Mountain
New Hampshire,24.5,23,NH,Northeast,New England
New Jersey,23.1,32,NJ,Northeast,Middle Atlantic
New Mexico,19.9,70,NM,West,Mountain
New York,23.9,29,NY,Northeast,Middle Atlantic
North Carolina,19.1,100,NC,South,South Atlantic
North Dakota,20.3,100,ND,Midwest,West North Central
Ohio,22.0,73,OH,Midwest,East North Central
Oklahoma,20.4,82,OK,South,West South Central
Oregon,21.7,39,OR,West,Pacific
Pennsylvania,23.1,23,PA,Northeast,Middle Atlantic
Rhode Island,23.3,20,RI,Northeast,New England
South Carolina,18.5,100,SC,South,South Atlantic
South Dakota,21.9,76,SD,Midwest,West North Central
Tennessee,19.9,100,TN,South,East South Central
Texas,20.6,46,TX,South,West South Central
Utah,20.2,100,UT,West,Mountain
Vermont,23.4,29,VT,Northeast,New England
Virginia,23.3,31,VA,South,South Atlantic
Washington,23.1,25,WA,West,Pacific
West Virginia,20.7,67,WV,South,South Atlantic
Wisconsin,20.5,100,WI,Midwest,East North Central
Wyoming,20.0,100,WY,West,Mountain
